id,class
01292809708,0
01299408463,0
01299409110,0
01300727659,0
01356825273,0
01466437486,0
01481659457,0
01658987358,0
01666386886,0
0124804854,0
0125847391,1
0130725172,1
0130725181,1
0130725330,1
0130748230,1
0130783956,1
0130784020,1
0133617299,1
0140724027,0
0141705633,1
0147655362,1
0148049618,1
0148051017,1
0150625373,1
0150630366,1
0150636364,1
0155751910,1
0155752097,1
0155752549,1
0155787744,1
0155806598,1
0155816439,1
0158646576,1
0158648678,0
0158683259,1
0175406139,2
0176841865,0
0183892806,0
0185135179,1
0189568149,0
01102965468,0
01104637491,0
01106615240,0
01106745549,0
01106878336,0
01106879541,0
01108232544,1
01114077588,0
01114391761,0
01114413887,0
01115095954,0
01115842846,1
01118732259,0
01119561909,0
01119561914,0
01119561925,0
01120772607,0
01121100456,0
01121510285,0
01121901970,0
01121981792,0
01122348404,0
01127464509,0
01127590727,0
01127702027,0
01128480576,0
01128503978,0
01128503979,0
01128753745,0
01128949649,0
01133902409,0
01134699931,1
01139492027,0
01139497128,0
01141745592,0
01144789925,0
01149126614,0
01153060015,0
01156777722,0
01156942659,0
01157838640,0
01157863250,1
01157863251,1
01157863269,0
01158054796,0
01158054797,0
01158217778,0
01158217782,0
01158527478,0
01159456931,0
01159534976,0
01160559080,1
01161453477,0
01162380529,1
01162939994,0
01163825705,1
01164178085,0
01164178088,0
01164587497,0
01164941784,0
01166492652,0
01167320556,0
01168232772,0
01169699652,0
01172788785,0
01173183463,0
01174581500,0
01174649371,0
01174669338,0
01175187112,0
01175384537,0
01181076344,1
01183784331,0
01183971082,0
01183991925,1
01184283214,0
01184448298,0
01186862097,1
01187185105,0
01187830378,0
01187838791,0
01188414111,0
01189309764,0
01189309767,0
01189633244,1
01193138312,0
01195255442,0
01197168814,1
01199996611,1
01200571720,1
01200900236,1
01200900237,1
01200900238,1
01200978012,0
01203298087,0
01208801927,1
01208805203,1
01217111712,1
01218121894,0
01222610506,1
01224716836,0
01224723860,0
01225003762,0
01225634480,0
01225634607,0
01225648204,1
01225648347,0
01225648353,0
01225649463,0
01226054618,1
01226512965,0
01226513021,0
01226625500,0
01226695443,0
01226698833,0
01226701955,2
01226752962,0
01226753452,0
01226936163,1
01227131374,0
01228044926,1
01229600528,0
01229600529,0
01232093766,0
01232093782,0
01232093784,0
01232093816,0
01232093836,0
01232093844,0
01232093846,0
01232093864,0
01232100103,0
01232100111,0
01232100127,0
01232100130,0
01232105716,0
01232405453,0
01232494894,0
01232870423,0
01233330591,0
01233330593,0
01233336871,0
01234076086,0
01234196279,1
01234196281,1
01234199655,1
01234199659,1
01234202675,1
01234202768,1
01234203306,1
01234203824,1
01234221914,1
01234239793,1
01234418240,1
01234418241,1
01236502529,1
01237178902,1
01237224760,1
01237486300,0
01237494169,1
01238530938,0
01238534913,0
01238689603,1
01238818313,0
01238818314,0
01238914156,1
01238948533,1
01239150507,1
01239150547,1
01239374805,0
01239865565,0
01239880929,1
01239882788,1
01240229277,1
01241106525,1
01241106531,1
01241250262,0
01241619211,0
01242473235,0
01242491296,0
01242495374,0
01242731025,0
01242789366,0
01243905822,0
01244010356,0
01244136471,1
01245164271,1
01247167994,0
01247175907,0
01247178860,0
01248393687,1
01249838792,0
01250366839,0
01251324795,1
01251368194,0
01252077439,1
01252711191,0
01252890724,0
01253872510,0
01254306033,1
01254324234,1
01254757164,0
01255495942,1
01255495945,1
01255503942,1
01255662877,1
01255662884,1
01256267053,1
01256450379,1
01256753335,1
01256824808,0
01258198535,0
01258592402,1
01258610394,1
01258610400,1
01259358483,0
01260264217,0
01260795156,1
01260795157,1
01260795158,1
01260966343,1
01261491948,1
01262168702,1
01263306580,1
01263622195,1
01263623051,1
01264412327,1
01264413430,1
01264413432,1
01264413433,1
01264415706,0
01264415707,0
01266293711,1
01266293717,1
01266297360,1
01267373903,1
01267397588,1
01270270676,0
01271046265,0
01276909363,1
01277989175,1
01279303636,1
01286462020,0
01286462021,0
01295065814,1
01297316809,1
01297678790,1
01297832590,0
01298041155,1
01298474891,1
01299052712,0
01302985254,1
01305570852,1
01306984143,1
01308161064,1
01308161067,1
01308161068,1
01308161070,1
01309382334,1
01310845064,0
01311784824,0
01312167166,1
01312174152,0
01312174154,0
01313092713,0
01318327249,1
01318815815,1
01320614834,0
01321944334,0
01322172370,0
01322172372,0
01323211457,1
01324909466,0
01324909467,0
01325126537,1
01325138347,1
01325139295,0
01325358983,0
01325358985,0
01326315455,1
01326315456,1
01326316687,1
01331215449,1
01331952637,0
01333892421,1
01333892422,1
01333934380,1
01333934482,1
01333936866,1
01333938760,1
01333938761,1
01333938762,1
01333938780,1
01333938781,1
01334020188,1
01334020189,1
01334123185,1
01334123293,0
01336854561,0
01337807649,0
01343683103,0
01344714977,0
01345162637,1
01345326821,1
01345676103,0
01346519727,0
01346539386,0
01350711556,0
01350793620,0
01351673650,0
01351854062,1
01353022942,1
01353135368,1
01354236552,1
01354236631,1
01354743921,1
01355119798,0
01355119800,0
01357050599,0
01357050839,1
01357050842,1
01357317640,1
01357317647,1
01357432806,1
01358215326,1
01359005930,0
01359504401,0
01359504459,1
01359504532,1
01359504536,1
01359613564,1
01359677097,1
01360804981,1
01365025448,1
