id,label
0,99
1,99
2,99
3,99
4,99
5,99
6,99
7,99
8,99
9,99
10,99
11,99
12,99
13,99
14,99
15,99
16,99
17,99
18,99
19,99
20,99
21,99
22,16
23,99
24,99
25,99
26,99
27,99
28,7
29,99
30,99
31,99
32,99
33,99
34,99
35,99
36,99
37,14
38,99
39,5
40,99
41,99
42,99
43,99
44,5
45,99
46,12
47,99
48,3
49,99
50,99
51,99
52,99
53,99
54,99
55,99
56,5
57,99
58,1
59,5
60,5
61,14
62,99
63,99
64,7
65,99
66,99
67,7
68,5
69,5
70,5
71,99
72,99
73,0
74,99
75,99
76,99
77,99
78,99
79,99
80,99
81,99
82,14
83,99
84,99
85,3
86,3
87,7
88,99
89,3
90,99
91,99
92,99
93,6
94,99
95,1
96,99
97,7
98,12
99,99
100,99
101,99
102,7
103,99
104,3
105,99
106,99
107,6
108,99
109,5
110,99
111,99
112,99
113,7
114,99
115,14
116,3
117,99
118,8
119,99
120,99
121,5
122,99
123,99
124,16
125,99
126,99
127,99
128,99
129,5
130,6
131,99
132,7
133,99
134,99
135,99
136,5
137,99
138,8
139,5
140,1
141,99
142,99
143,6
144,9
145,99
146,14
147,9
148,99
149,99
150,99
151,5
152,99
153,99
154,99
155,99
156,99
157,4
158,99
159,1
160,5
161,99
162,99
163,5
164,5
165,99
166,99
167,5
168,5
169,99
170,99
171,99
172,99
173,99
174,99
175,99
176,99
177,7
178,7
179,99
180,99
181,99
182,99
183,3
184,1
185,99
186,99
187,5
188,5
189,99
190,99
191,5
192,8
193,99
194,99
195,99
196,99
197,99
198,99
199,5
200,99
201,99
202,99
203,5
204,99
205,5
206,99
207,99
208,99
209,6
210,99
211,99
212,9
213,99
214,3
215,99
216,3
217,99
218,99
219,99
220,99
221,9
222,5
223,3
224,16
225,99
226,99
227,99
228,99
229,99
230,11
231,99
232,99
233,99
234,99
235,99
236,99
237,99
238,4
239,99
240,5
241,99
242,99
243,99
244,99
245,99
246,99
247,99
248,5
249,5
250,99
251,5
252,7
253,9
254,99
255,1
256,99
257,99
258,99
259,99
260,99
261,99
262,99
263,99
264,99
265,99
266,99
267,99
268,5
269,99
270,99
271,99
272,99
273,5
274,99
275,3
276,5
277,99
278,99
279,99
280,5
281,3
282,3
283,99
284,99
285,99
286,3
287,99
288,99
289,1
290,99
291,99
292,5
293,8
294,99
295,99
296,99
297,99
298,99
299,99
300,5
301,99
302,99
303,5
304,5
305,14
306,5
307,7
308,99
309,5
310,99
311,5
312,1
313,99
314,99
315,99
316,5
317,99
318,99
319,9
320,9
321,99
322,5
323,3
324,99
325,99
326,99
327,5
328,6
329,99
330,99
331,1
332,99
333,99
334,99
335,99
336,5
337,5
338,5
339,99
340,99
341,99
342,5
343,0
344,3
345,99
346,99
347,99
348,99
349,1
350,99
351,99
352,99
353,99
354,3
355,7
356,99
357,1
358,99
359,99
360,99
361,3
362,99
363,99
364,9
365,99
366,3
367,99
368,99
369,99
370,99
371,99
372,99
373,5
374,99
375,99
376,99
377,99
378,99
379,5
380,99
381,5
382,99
383,99
384,99
385,99
386,99
387,99
388,99
389,99
390,9
391,99
392,99
393,1
394,99
